iter:422 | 5: 0.972272 +i0.000000
iter:423 | 5: 0.972272 +i0.000000
iter:424 | 5: 0.972272 +i0.000000
iter:425 | 5: 0.972272 +i0.000000
iter:426 | 5: 0.972272 +i0.000000
iter:427 | 0: -0.088388 +i0.000000
iter:428 | 5: 0.972272 +i0.000000
iter:429 | 5: 0.972272 +i0.000000
iter:430 | 5: 0.972272 +i0.000000
iter:431 | 5: 0.972272 +i0.000000
iter:432 | 5: 0.972272 +i0.000000
iter:433 | 5: 0.972272 +i0.000000
iter:434 | 5: 0.972272 +i0.000000
iter:435 | 5: 0.972272 +i0.000000
iter:436 | 5: 0.972272 +i0.000000
iter:437 | 5: 0.972272 +i0.000000
iter:438 | 0: -0.088388 +i0.000000
iter:439 | 5: 0.972272 +i0.000000
iter:440 | 5: 0.972272 +i0.000000
iter:441 | 5: 0.972272 +i0.000000
iter:442 | 5: 0.972272 +i0.000000
iter:443 | 5: 0.972272 +i0.000000
iter:444 | 5: 0.972272 +i0.000000
iter:445 | 5: 0.972272 +i0.000000
iter:446 | 0: -0.088388 +i0.000000
iter:447 | 5: 0.972272 +i0.000000
iter:448 | 5: 0.972272 +i0.000000
iter:449 | 5: 0.972272 +i0.000000
iter:450 | 5: 0.972272 +i0.000000
iter:451 | 5: 0.972272 +i0.000000
iter:452 | 5: 0.972272 +i0.000000
iter:453 | 5: 0.972272 +i0.000000
iter:454 | 5: 0.972272 +i0.000000
iter:455 | 5: 0.972272 +i0.000000
iter:456 | 5: 0.972272 +i0.000000
iter:457 | 5: 0.972272 +i0.000000
iter:458 | 5: 0.972272 +i0.000000
iter:459 | 5: 0.972272 +i0.000000
iter:460 | 5: 0.972272 +i0.000000
iter:461 | 5: 0.972272 +i0.000000
iter:462 | 3: -0.088388 +i0.000000
iter:463 | 5: 0.972272 +i0.000000
iter:464 | 5: 0.972272 +i0.000000
iter:465 | 5: 0.972272 +i0.000000
iter:466 | 5: 0.972272 +i0.000000
iter:467 | 5: 0.972272 +i0.000000
iter:468 | 5: 0.972272 +i0.000000
iter:469 | 5: 0.972272 +i0.000000
iter:470 | 5: 0.972272 +i0.000000
iter:471 | 5: 0.972272 +i0.000000
iter:472 | 5: 0.972272 +i0.000000
iter:473 | 5: 0.972272 +i0.000000
iter:474 | 5: 0.972272 +i0.000000
iter:475 | 5: 0.972272 +i0.000000
iter:476 | 5: 0.972272 +i0.000000
iter:477 | 5: 0.972272 +i0.000000
iter:478 | 5: 0.972272 +i0.000000
iter:479 | 5: 0.972272 +i0.000000
iter:480 | 5: 0.972272 +i0.000000
iter:481 | 5: 0.972272 +i0.000000
iter:482 | 5: 0.972272 +i0.000000
iter:483 | 5: 0.972272 +i0.000000
iter:484 | 5: 0.972272 +i0.000000
iter:485 | 5: 0.972272 +i0.000000
iter:486 | 5: 0.972272 +i0.000000
iter:487 | 5: 0.972272 +i0.000000
iter:488 | 5: 0.972272 +i0.000000
iter:489 | 5: 0.972272 +i0.000000
iter:490 | 5: 0.972272 +i0.000000
iter:491 | 5: 0.972272 +i0.000000
iter:492 | 5: 0.972272 +i0.000000
iter:493 | 5: 0.972272 +i0.000000
iter:494 | 0: -0.088388 +i0.000000
iter:495 | 5: 0.972272 +i0.000000
iter:496 | 5: 0.972272 +i0.000000
iter:497 | 5: 0.972272 +i0.000000
iter:498 | 5: 0.972272 +i0.000000
iter:499 | 7: -0.088388 +i0.000000
iter:500 | 4: -0.088388 +i0.000000
iter:501 | 5: 0.972272 +i0.000000
iter:502 | 5: 0.972272 +i0.000000
iter:503 | 5: 0.972272 +i0.000000
iter:504 | 5: 0.972272 +i0.000000
